"collect","recollect","NstM","NstSD","NstUL","NstLL","NstSE","totalgenos"
500,500,236589.35925,40526.887477675,251001,125500.5,2511.88250977346,1000
1000,1000,792883.3913,263820.667096674,1002001,334000.333333333,16351.7743562704,2000
1500,1500,1351221.25688571,656698.091562046,2253001,450600.2,40702.5694066686,3000
2000,2000,1724222.930625,1007416.80342505,4004001,667333.5,62440.3403782059,4000
2500,2500,1896675.16036825,1130541.02863738,6255001,781875.125,70071.65891977,5000
3000,3000,1978142.22827183,1134823.38116658,4503000.5,900600.1,70337.0818793966,6000
3500,3500,1980274.49613926,966107.271271311,4085667,1021416.75,59879.949048843,7000
4000,4000,1926141.89048573,814871.016890428,4002000.25,1067200.06666667,50506.2288875733,8000
4500,4500,1992392.18175476,699669.383717259,4051800.2,1125500.05555556,43365.9576880042,9000
5000,5000,2007846.9823197,612463.847077671,3572857.28571429,1190952.42857143,37960.9025289802,10000
7500,7500,2017490.22521353,380436.764362435,2961315.84210526,1442692.33333333,23579.7149485814,15000
12500,12500,1989304.37061649,225483.593586075,2520564.53225806,1627445.04101965,13975.6179223419,25000
17500,17500,1999853.74048518,162832.301888473,2356495.06583333,1720461.9312653,10092.4506320679,35000
22500,22500,2001690.59322979,126032.271094611,2270636.84395881,1776473.6877193,7811.56109271836,45000
27500,27500,1993819.71675112,101450.440286797,2198561.0494186,1804916.42683813,6287.9634342904,55000
32500,32500,1995136.21693901,84901.8188636089,2169136.21805218,1833880.21006944,5262.26925196104,65000
37500,37500,1996494.84379805,71123.5908910525,2140688.51454111,1867629.48339973,4408.28583468032,75000
42500,42500,1996744.99702537,65527.0621862139,2125162.57773716,1875737.28037383,4061.4093918034,85000
47500,47500,2000766.6102772,60368.3903533339,2122669.91200953,1884882.18833537,3741.67159901557,95000
